nama_lokasi,latitude,longitude
KM-049,-3.68203,103.8731
KM-050,-3.67927,103.8698
KM-051,-3.67687,103.8722
KM-052,-3.67774,103.8714
KM-053,-3.68335,103.8809
KM-054,-3.67498,103.8662
KM-055,-3.67405,103.8679
KM-055/22/55J,-3.66903,103.8567
KM-055/23/38,-3.66541,103.8495
KM-055/23/96,-3.66613,103.8439
KM-055/24/77,-3.66656,103.837
KM-055/25/17J,-3.66776,103.8425
KM-055/25/1E,-3.6723,103.834
KM-055J,-3.66848,103.8565
KM-056,-3.67691,103.8664
KM-057,-3.67353,103.8656
KM-058,-3.67566,103.8645
KM-059,-3.68231,103.8823
KM-060,-3.66545,103.8414
KM-061,-3.6662,103.8457
KM-062,-3.66577,103.8388
KM-063,-3.66809,103.8404
KM-065,-3.66669,103.8403
KM-066,-3.66653,103.8377
KM-067,-3.66728,103.8419
KM-068,-3.666,103.843
KM-069,-3.66589,103.8443
KM-070,-3.6675,103.8437
KM-071,-3.66782,103.8386
KM-072,-3.67483,103.8624
KM-073A,-3.67244,103.8642
KM-073B,-3.6724,103.8633
KM-074,-3.67343,103.8623
KM-075,-3.67227,103.8592
KM-076,-3.66894,103.8421
KM-077,-3.66794,103.8456
KM-077J,-3.66656,103.8369
KM-078,-3.67571,103.8696
KM-079,-3.67704,103.8737
KM-080,-3.66719,103.8472
KM-081,-3.6651,103.8436
KM-082,-3.68193,103.8793
KM-083,-3.66796,103.8487
KM-084,-3.67967,103.8766
KM-085,-3.67794,103.8711
KM-086,-3.66596,103.8479
KM-087,-3.66727,103.8505
KM-088,-3.66498,103.8468
KM-089,-3.66508,103.8491
KM-090,-3.66751,103.8524
KM-091,-3.66662,103.8493
KM-092,-3.66764,103.8539
KM-093,-3.68048,103.8815
KM-094,-3.6687,103.8513
KM-095,-3.66659,103.8515
KM-096,-3.66773,103.8437
KM-097,-3.66877,103.8528
KM-098,-3.66611,103.8469
KM-099,-3.6663,103.8417
KM-100,-3.66824,103.85
KM-100A,-3.66805,103.8499
KM-101,-3.66795,103.8555
KM-102,-3.66631,103.8529
KM-104,-3.66874,103.8542
KM-105,-3.66773,103.8515
KM-106,-3.66692,103.8482
KM-107,-3.66932,103.8554
KM-108,-3.66708,103.8548
KM-109,-3.66695,103.8462
KM-110,-3.66701,103.8448
KM-111,-3.66803,103.8472
KM-112,-3.66679,103.8432
KM-113,-3.66744,103.8495
KM-114,-3.66879,103.8563
KM-115,-3.66795,103.8547
KM-116,-3.66746,103.8527
KM-117,-3.68076,103.8786
KM-118,-3.68112,103.8782
KM-119,-3.68216,103.8775
KM-126,-3.66787,103.857
KM-127,-3.6667,103.8538
KM-128,-3.66643,103.8362
KM-129,-3.66685,103.839
KM-134,-3.66594,103.837
KM-135,-3.66932,103.8536
KM-136,-3.68175,103.8766
KM-137,-3.67126,103.8605
KM-138,-3.66582,103.8403
KM-139,-3.66736,103.8409
KM-148,-3.67927,103.8742
KM-149,-3.66673,103.844
KM-150,-3.66882,103.8574
KM-156,-3.67058,103.8595
KM-157,-3.66619,103.8504
KM-158,-3.6697,103.8565
KM-158A,-3.6697,103.8565
KM-159,-3.66716,103.8559
KM-161,-3.66743,103.8397
KM-162,-3.66728,103.8369
KM-163,-3.67887,103.872
KM-171,-3.67161,103.8594
KM-172,-3.66576,103.8492
KM-173,-3.66734,103.838
KM-174,-3.66816,103.8507
KM-175,-3.66686,103.852
KM-176,-3.66823,103.8521
KM-177,-3.67031,103.8603
KM-178,-3.67075,103.8615
KM-179,-3.66644,103.835
KM-180,-3.66708,103.8406
KM-181,-3.66729,103.8356
KM-181A,-3.66732,103.8357
KM-182,-3.66802,103.858
KM-183,-3.66719,103.8529
KM-183A,-3.66709,103.8531
KM-184,-3.66575,103.8379
KM-185,-3.66588,103.8356
KM-186,-3.66891,103.8584
KM-187,-3.66969,103.8577
KM-188,-3.66714,103.8345
KM-189,-3.66818,103.8359
KM-192,-3.66689,103.8573
KM-193,-3.66791,103.8589
KM-194,-3.66703,103.8219
KM-195,-3.67799,103.8704
KM-196,-3.66996,103.8588
KM-197,-3.67647,103.8713
KM-198,-3.67698,103.8688
KM-199,-3.679,103.8764
KM-201,-3.66555,103.8421
KM-202,-3.66623,103.8396
KM-203,-3.66962,103.8545
KM-205,-3.672,103.8611
KM-206,-3.66724,103.8322
KM-208,-3.66695,103.823
KM-208A,-3.66705,103.8234
KM-209,-3.68427,103.8815
KM-210,-3.68139,103.8756
KM-211,-3.68247,103.8783
KM-213,-3.66698,103.8244
KM-214,-3.68508,103.8823
KM-215,-3.6832,103.8819
KM-216,-3.66696,103.8258
KM-217,-3.68593,103.8831
KM-218,-3.66698,103.827
KM-219,-3.669,103.8581
KM-220,-3.667,103.8193
KM-222,-3.66831,103.8347
KM-224,-3.67936,103.8732
KM-225,-3.68273,103.8776
KM-226,-3.66703,103.8283
KM-227,-3.66699,103.8294
KM-228,-3.66705,103.8307
KM-229,-3.66748,103.8334
KM-230,-3.66829,103.8327
KM-231,-3.66823,103.8314
KM-232,-3.66796,103.8302
KM-233,-3.66792,103.826
KM-234,-3.66799,103.8272
KM-235,-3.683,103.88
KM-236,-3.66809,103.8286
KM-236A,-3.66833,103.8287
KM-237,-3.66593,103.827
KM-238,-3.66791,103.8247
KM-239,-3.66708,103.8206
KM-240,-3.6682,103.8234
KM-241,-3.66862,103.8223
KM-243,-3.66886,103.8265
KM-245,-3.6675,103.8278
KM-246,-3.68595,103.8846
KM-247,-3.67475,103.8667
KM-248,-3.66878,103.8547
KM-249,-3.66755,103.8345
KM-251,-3.66722,103.8182
KM-252,-3.6761,103.8675
KM-252A,-3.67616,103.8674
KM-253,-3.66707,103.8426
KM-255,-3.66865,103.8211
KM-256,-3.67723,103.8693
KM-257,-3.66862,103.8199
KM-258,-3.67092,103.86
KM-260,-3.66777,103.8181
KM-261,-3.68043,103.8768
